broker_id,broker_name,buy,sell,net,net_lot
1470,台灣摩根,7818662,4410426,3408236,3408.2
1360,港麥格理,3922384,1111965,2810419,2810.4
8440,摩根大通,6319432,3883451,2435981,2436.0
1560,港商野村,2775704,1329353,1446351,1446.4
8890,大和國泰,1752900,428000,1324900,1324.9
8880,國泰綜合,2631418,1503786,1127632,1127.6
6160,中國信託,1575916,635543,940373,940.4
5850,統一,1800128,1064652,735476,735.5
9600,富邦,1940135,1465864,474271,474.3
779c,國票敦北,533542,165121,368421,368.4
9A00,永豐金,1945833,1577727,368106,368.1
7000,兆豐,623980,341299,282681,282.7
9300,華南永昌,580284,374712,205572,205.6
8960,上海匯豐,822937,632662,190275,190.3
538B,第一新竹,229534,60735,168799,168.8
5380,第一金證,251144,109741,141403,141.4
9875,元大永寧,171174,31072,140102,140.1
8450,康和,169630,47047,122583,122.6
779Z,國票安和,205739,115818,89921,89.9
9205,凱基三重,117037,32770,84267,84.3
