broker_id,broker_group,branch_name,city,broker_name,source,note,broker_org_type,seat_type,is_proprietary,id_quality,broker_category_ids
075T,第一銀行,總部,台北市,第一銀行,finmind,,local,hq,N,official,"BR01,SE01,ID01"
087T,臺灣銀行,總部,台北市,臺灣銀行,finmind,,local,hq,N,official,"BR01,SE01,ID01"
1020,合庫,總部,台北市,合庫,finmind,,local,hq,N,official,"BR01,SE01,ID01"
1021,合庫,台中,台中市,合庫-台中,finmind,,local,branch,N,official,"BR01,SE02,ID01"
1022,合庫,台南,台南市,合庫-台南,finmind,,local,branch,N,official,"BR01,SE02,ID01"
1023,合庫,高雄,高雄市,合庫-高雄,finmind,,local,branch,N,official,"BR01,SE02,ID01"
1024,合庫,嘉義,嘉義市,合庫-嘉義,finmind,,local,branch,N,official,"BR01,SE02,ID01"
1025,合庫,基隆,基隆市,合庫-基隆,finmind,,local,branch,N,official,"BR01,SE02,ID01"
1028,合庫,彰化,彰化縣,合庫-彰化,finmind,,local,branch,N,official,"BR01,SE02,ID01"
1029,合庫,鳳山,高雄市,合庫-鳳山,finmind,,local,branch,N,official,"BR01,SE02,ID01"
102A,合庫,新竹,新竹市,合庫-新竹,finmind,,local,branch,N,official,"BR01,SE02,ID01"
102C,合庫,自強,台北市,合庫-自強,finmind,,local,branch,N,official,"BR01,SE02,ID01"
102E,合庫,桃園,桃園市,合庫-桃園,finmind,,local,branch,N,official,"BR01,SE02,ID01"
102F,合庫,西台中,台中市,合庫-西台中,finmind,,local,branch,N,official,"BR01,SE02,ID01"
102G,合庫,三重,新北市,合庫-三重,finmind,,local,branch,N,official,"BR01,SE02,ID01"
102Q,合庫,國際證券,台北市,合庫-國際證券,finmind,,local,branch,N,official,"BR01,SE02,ID01"
102T,合庫自營,總部,台北市,合庫自營,finmind,,local,hq,Y,official,"BR01,SE01,SE04,ID01"
1030,土銀,總部,台北市,土銀,finmind,,local,hq,N,official,"BR01,SE01,ID01"
1031,土銀,台中,台中市,土銀-台中,finmind,,local,branch,N,official,"BR01,SE02,ID01"
1032,土銀,台南,台南市,土銀-台南,finmind,,local,branch,N,official,"BR01,SE02,ID01"
1033,土銀,高雄,高雄市,土銀-高雄,finmind,,local,branch,N,official,"BR01,SE02,ID01"
1034,土銀,嘉義,嘉義市,土銀-嘉義,finmind,,local,branch,N,official,"BR01,SE02,ID01"
1035,土銀,新竹,新竹市,土銀-新竹,finmind,,local,branch,N,official,"BR01,SE02,ID01"
1036,土銀,玉里,花蓮縣,土銀-玉里,finmind,,local,branch,N,official,"BR01,SE02,ID01"
1037,土銀,花蓮,花蓮縣,土銀-花蓮,finmind,,local,branch,N,official,"BR01,SE02,ID01"
1038,土銀,和平,台北市,土銀-和平,finmind,,local,branch,N,official,"BR01,SE02,ID01"
1039,土銀,士林,台北市,土銀-士林,finmind,,local,branch,N,official,"BR01,SE02,ID01"
103A,土銀,建國,高雄市,土銀-建國,finmind,,local,branch,N,official,"BR01,SE02,ID01"
103B,土銀,彰化,彰化市,土銀-彰化,finmind,,local,branch,N,official,"BR01,SE02,ID01"
103C,土銀,白河,台南市,土銀-白河,finmind,,local,branch,N,official,"BR01,SE02,ID01"
103F,土銀,南港,台北市,土銀-南港,finmind,,local,branch,N,official,"BR01,SE02,ID01"
1040,臺銀證券,總部,台北市,臺銀證券,finmind,,local,hq,N,official,"BR01,SE01,ID01"
